transfer_probability    inoculation_fraction    avg_steps    avg_stable_ppl
0.6 0.15 11 200
0.65 0.15 10 200
0.7 0.15 10 200
0.75 0.15 10 200
0.8 0.15 10 200
0.85 0.15 10 200
0.9 0.15 9 200
0.95 0.15 9 200
1 0.15 9 200
0 0.2 5 41
0.05 0.2 12 48
0.1 0.2 30 141
0.15 0.2 24 187
0.2 0.2 20 194
0.25 0.2 17 198
0.3 0.2 15 198
0.35 0.2 14 199
0.4 0.2 13 199
0.45 0.2 12 199
0.5 0.2 12 200
0.55 0.2 11 199
0.6 0.2 11 199
0.65 0.2 11 200
0.7 0.2 10 200
0.75 0.2 10 200
0.8 0.2 10 199
0.85 0.2 10 200
0.9 0.2 10 200
0.95 0.2 9 200
1 0.2 9 200
0 0.25 5 51
0.05 0.25 10 54
0.1 0.25 29 130
0.15 0.25 24 178
0.2 0.25 20 191
0.25 0.25 18 197
0.3 0.25 16 199
0.35 0.25 14 199
0.4 0.25 13 199
0.45 0.25 13 199
0.5 0.25 12 199
0.55 0.25 12 199
0.6 0.25 11 199
0.65 0.25 11 200
0.7 0.25 11 200
0.75 0.25 10 200
0.8 0.25 10 200
0.85 0.25 10 200
0.9 0.25 10 200
0.95 0.25 10 200
1 0.25 9 200
0 0.3 5 61
0.05 0.3 9 64
0.1 0.3 28 126
0.15 0.3 24 170
0.2 0.3 21 190
0.25 0.3 18 197
0.3 0.3 16 198
0.35 0.3 15 199
0.4 0.3 14 199
0.45 0.3 13 199
0.5 0.3 12 199
0.55 0.3 12 199
0.6 0.3 11 200
0.65 0.3 11 200
0.7 0.3 11 200
0.75 0.3 10 200
0.8 0.3 10 200
0.85 0.3 10 200
0.9 0.3 10 200
0.95 0.3 10 200
1 0.3 10 200
0 0.35 5 71
0.05 0.35 8 73
0.1 0.35 28 125
0.15 0.35 24 167
0.2 0.35 21 187
0.25 0.35 19 194
0.3 0.35 17 198
0.35 0.35 15 199
0.4 0.35 14 199
0.45 0.35 13 199
0.5 0.35 13 199
0.55 0.35 12 199
0.6 0.35 12 199
0.65 0.35 11 199
0.7 0.35 11 200
0.75 0.35 11 200
0.8 0.35 10 200
0.85 0.35 10 200
0.9 0.35 10 200
0.95 0.35 10 200
1 0.35 10 200
0 0.4 5 81
0.05 0.4 8 83
0.1 0.4 23 114
0.15 0.4 26 166
0.2 0.4 23 189
0.25 0.4 20 193
0.3 0.4 17 197
0.35 0.4 16 198
0.4 0.4 15 199
0.45 0.4 14 199
0.5 0.4 13 199
0.55 0.4 13 199
0.6 0.4 12 199
0.65 0.4 11 199
0.7 0.4 11 199
0.75 0.4 11 200
0.8 0.4 11 200
