transfer_probability    inoculation_fraction    avg_steps    avg_stable_ppl    avg_num_of_people__have_been_sick
0.35 0.8 8.09 18.665 2.665
0.4 0.8 8.39 18.865 2.865
0.45 0.8 8.415 19 3
0.5 0.8 9.045 19.425 3.425
0.55 0.8 8.74 19.46 3.46
0.6 0.8 8.955 19.55 3.55
0.65 0.8 8.425 19.54 3.54
0.7 0.8 8.715 19.67 3.67
0.75 0.8 8.725 19.73 3.73
0.8 0.8 8.72 19.845 3.845
0.85 0.8 8.42 19.86 3.86
0.9 0.8 8.295 19.895 3.895
0.95 0.8 8.315 19.885 3.885
1 0.8 8.305 19.93 3.93
0 0.85 5 18 1
0.05 0.85 5.37 18.165 1.165
0.1 0.85 5.75 18.28 1.28
0.15 0.85 5.975 18.41 1.41
0.2 0.85 6.315 18.565 1.565
0.25 0.85 6.54 18.69 1.69
0.3 0.85 6.79 18.825 1.825
0.35 0.85 6.97 18.985 1.985
0.4 0.85 7.115 19.06 2.06
0.45 0.85 7.3 19.17 2.17
0.5 0.85 7.45 19.285 2.285
0.55 0.85 7.38 19.225 2.225
0.6 0.85 7.685 19.46 2.46
0.65 0.85 7.585 19.4 2.4
0.7 0.85 7.72 19.57 2.57
0.75 0.85 7.805 19.7 2.7
0.8 0.85 7.77 19.72 2.72
0.85 0.85 7.785 19.69 2.69
0.9 0.85 7.985 19.825 2.825
0.95 0.85 7.75 19.78 2.78
1 0.85 7.83 19.895 2.895
0 0.9 5 19 1
0.05 0.9 5.115 19.05 1.05
0.1 0.9 5.415 19.155 1.155
0.15 0.9 5.44 19.18 1.18
0.2 0.9 5.63 19.245 1.245
0.25 0.9 5.655 19.26 1.26
0.3 0.9 5.715 19.315 1.315
0.35 0.9 5.94 19.395 1.395
0.4 0.9 6.125 19.435 1.435
0.45 0.9 5.98 19.425 1.425
0.5 0.9 6.03 19.485 1.485
0.55 0.9 6.265 19.565 1.565
0.6 0.9 6.33 19.56 1.56
0.65 0.9 6.295 19.575 1.575
0.7 0.9 6.495 19.68 1.68
0.75 0.9 6.575 19.685 1.685
0.8 0.9 6.365 19.635 1.635
0.85 0.9 6.53 19.705 1.705
0.9 0.9 6.42 19.67 1.67
0.95 0.9 6.61 19.765 1.765
1 0.9 6.425 19.735 1.735
0 0.95 5 20 1
0.05 0.95 5 20 1
0.1 0.95 5 20 1
0.15 0.95 5 20 1
0.2 0.95 5 20 1
0.25 0.95 5 20 1
0.3 0.95 5 20 1
0.35 0.95 5 20 1
0.4 0.95 5 20 1
0.45 0.95 5 20 1
0.5 0.95 5 20 1
0.55 0.95 5 20 1
0.6 0.95 5 20 1
0.65 0.95 5 20 1
0.7 0.95 5 20 1
0.75 0.95 5 20 1
0.8 0.95 5 20 1
0.85 0.95 5 20 1
0.9 0.95 5 20 1
0.95 0.95 5 20 1
1 0.95 5 20 1
